size,cpus,time
800,2,0.3893934
1000,2,0.7947324
1200,2,1.4669814
1400,2,2.4478609
1600,2,3.5220602
2000,2,6.4975949
3000,2,32.7327716
100,4,0.0030541
200,4,0.006831
800,4,0.2053749
400,4,0.0293604
1000,4,0.421532
1200,4,1.2349196
1400,4,1.798624
1600,4,2.8533868
2000,4,4.8646207
3000,4,17.9969961
100,8,0.0035404
200,8,0.0104355
400,8,0.0147003
1200,8,0.3765329
800,8,0.3500476
1000,8,0.4752284
1600,8,2.5059707
1400,8,2.1862833
2000,8,4.9025227
3000,8,11.1674826
100,10,0.0024454
200,10,0.0030399
400,10,0.0169823
800,10,0.1368087
1000,10,0.2933729
1200,10,1.0194999
1400,10,1.7579025
1600,10,3.4536876
2000,10,5.2242489
3000,10,10.8168211
100,16,0.0043442
200,16,0.0049446
400,16,0.0167354
800,16,0.0846641
1000,16,0.1416996
1200,16,0.2974447
1400,16,4.7592257
1600,16,5.0722034
2000,16,7.1448618
3000,16,10.7254347
100,1,0.0016979
200,1,0.0112733
400,1,0.0949355
800,1,0.7608595
1000,1,1.5345013
1200,1,2.8580455
1400,1,4.7064162
1600,1,8.1454764
2000,1,15.8500527
2600,1,44.9667401
3000,1,75.6198675
3600,1,125.645353
4000,1,166.8724544
5000,1,351.1265169
6000,1,595.0289401
7000,1,1054.891841
100,2,0.0022463
200,2,0.0067266
400,2,0.0487086
1000,2,0.8341494
800,2,0.4521646
1200,2,1.5294874
1400,2,2.7971441
1600,2,5.7356334
2000,2,13.2700063
2600,2,34.6980885
3000,2,54.1871023
3600,2,87.5039723
4000,2,112.704767
5000,2,209.8704342
6000,2,340.0213366
7000,2,573.6553929
100,4,0.0024323
200,4,0.0035302
400,4,0.0254342
800,4,0.1927243
1200,4,1.0370052
1000,4,1.2987432
1400,4,2.0194514
1600,4,4.4939167
2000,4,14.1080866
2600,4,37.9843828
3000,4,57.8654932
3600,4,94.7763256
4000,4,113.1541398
5000,4,179.5945041
6000,4,253.0512045
7000,4,371.2961241
100,8,0.0032798
200,8,0.0051789
400,8,0.0197555
800,8,0.1605888
1600,8,2.4164656
1000,8,2.7146257
1200,8,3.0665764
1400,8,3.9011975
2000,8,12.6660014
